page,key,context,ko,en,ja,zh-CN,zh-TW,es
auth,privacy_link,개인정보 링크,개인정보 처리방침,Privacy Policy,プライバシーポリシー,隐私政策,隱私政策,Política de Privacidad

# Promotion 추가 항목들
promo,welcome_title,환영 제목,신규 가입 환영 이벤트!,New Member Welcome Event!,新規加入歓迎イベント！,新用户欢迎活动！,新用戶歡迎活動！,¡Evento de Bienvenida para Nuevos Miembros!
promo,welcome_desc,환영 설명,지금 바로 받아가세요!,Claim it now!,今すぐ受け取ろう！,立即领取！,立即領取！,¡Reclámalo ahora!
promo,benefit_points,포인트 혜택,500 포인트 즉시 지급,500 Points Instantly,500ポイント即時付与,500积分立即发放,500積分立即發放,500 Puntos Instantáneamente
promo,benefit_championship,챔피언십 혜택,챔피언십 3회 무료,3 Free Championships,チャンピオンシップ3回無料,3次免费锦标赛,3次免費錦標賽,3 Campeonatos Gratis
promo,special_title,특별 프로모션,특별 프로모션!,Special Promotion!,特別プロモーション！,特别促销！,特別促銷！,¡Promoción Especial!
promo,claimed_message,수령 완료,혜택이 지급되었습니다!,Benefits claimed!,特典が付与されました！,福利已发放！,福利已發放！,¡Beneficios reclamados!
promo,claim_button,받기 버튼,받기,Claim,受け取る,领取,領取,Reclamar
promo,later_button,나중에 버튼,나중에,Later,後で,稍后,稍後,Más Tarde
promo,hide_today,오늘 숨기기,오늘 하루 보지 않기,Don't show today,今日は表示しない,今天不再显示,今天不再顯示,No mostrar hoy

# Tutorial 실제 구조에 맞춘 항목들
tutorial,page_title,페이지 타이틀,CWG - 사용 가이드,CWG - Tutorial,CWG - 使用ガイド,CWG - 使用指南,CWG - 使用指南,CWG - Tutorial
tutorial,step1_title_new,1단계 제목,낙첨 티켓 스캔,Scan Losing Tickets,落選チケットスキャン,扫描未中奖彩票,掃描未中獎彩票,Escanear Tickets Perdedores
tutorial,step1_subtitle,1단계 부제목,스캔하고 포인트 받기,Scan and Earn Points,スキャンしてポイント獲得,扫描并获得积分,掃描並獲得積分,Escanear y Ganar Puntos
tutorial,step1_desc_new,1단계 설명,카메라로 낙첨 티켓을 스캔하거나 직접 번호를 입력하여 포인트를 적립하세요.,Scan losing tickets with camera or enter numbers manually to earn points.,カメラで落選チケットをスキャンするか手動で番号を入力してポイントを貯めましょう。,使用相机扫描未中奖彩票或手动输入号码来积累积分。,使用相機掃描未中獎彩票或手動輸入號碼來累積積分。,Escanee tickets perdedores con la cámara o ingrese números manualmente para ganar puntos.
tutorial,step1_highlight1,1단계 하이라이트1,티어별 50P~100P 획득,Earn 50P~100P per tier,ティア別50P〜100P獲得,根据等级获得50P~100P,根據等級獲得50P~100P,Gane 50P~100P por nivel
tutorial,step1_highlight2,1단계 하이라이트2,광고 시청으로 추가 보너스,Extra bonus by watching ads,広告視聴で追加ボーナス,观看广告获得额外奖励,觀看廣告獲得額外獎勵,Bonificación extra viendo anuncios
tutorial,step1_highlight3,1단계 하이라이트3,월 최대 30회까지 스캔 가능,Up to 30 scans per month,月最大30回までスキャン可能,每月最多扫描30次,每月最多掃描30次,Hasta 30 escaneos por mes
tutorial,step2_title_new,2단계 제목,CWG 픽 확인,CWG Picks,CWGピック確認,CWG号码,CWG號碼,Números CWG
tutorial,step2_subtitle,2단계 부제목,AI가 분석한 추천 번호,AI-Analyzed Recommended Numbers,AIが分析した推奨番号,AI分析的推荐号码,AI分析的推薦號碼,Números Recomendados Analizados por IA
tutorial,step2_desc_new,2단계 설명,인공지능이 분석한 추천 번호 10세트를 확인하고 활용하세요.,Check and use 10 sets of AI-analyzed recommended numbers.,AIが分析した推奨番号10セットを確認して活用しましょう。,查看并使用AI分析的10组推荐号码。,查看並使用AI分析的10組推薦號碼。,Consulte y use 10 sets de números recomendados analizados por IA.
tutorial,step2_highlight1,2단계 하이라이트1,신뢰도별 정렬된 10개 세트,10 sets sorted by confidence,信頼度別にソートされた10セット,按置信度排序的10组,按置信度排序的10組,10 sets ordenados por confianza
tutorial,step2_highlight2,2단계 하이라이트2,포인트로 1회 열람 가능,Unlock once with points,ポイントで1回閲覧可能,使用积分解锁一次,使用積分解鎖一次,Desbloquear una vez con puntos
tutorial,step2_highlight3,2단계 하이라이트3,구독 시 무제한 이용,Unlimited with subscription,サブスクリプションで無制限,订阅享无限次数,訂閱享無限次數,Ilimitado con suscripción
tutorial,step3_title_new,3단계 제목,챔피언십 생성,Championship,チャンピオンシップ生成,锦标赛,錦標賽,Campeonato
tutorial,step3_subtitle,3단계 부제목,나만의 전략으로 번호 만들기,Create Your Strategy,自分の戦略で番号作成,用您的策略创建号码,用您的策略創建號碼,Cree con Su Estrategia
tutorial,step3_desc_new,3단계 설명,20가지 필터를 조합하여 나만의 전략으로 번호를 생성할 수 있습니다.,Combine 20 filters to generate numbers with your own strategy.,20種類のフィルターを組み合わせて自分の戦略で番号を生成できます。,组合20种筛选器以您的策略生成号码。,組合20種篩選器以您的策略生成號碼。,Combine 20 filtros para generar números con su propia estrategia.
tutorial,step3_highlight1,3단계 하이라이트1,핫/콜드 넘버 필터,Hot/Cold Number Filters,ホット/コールドナンバーフィルター,热门/冷门号码筛选器,熱門/冷門號碼篩選器,Filtros de Números Calientes/Fríos
tutorial,step3_highlight2,3단계 하이라이트2,홀짝·구간 분산 조정,Adjust Odd/Even Distribution,奇数/偶数・区間分散調整,调整奇偶·区间分布,調整奇偶·區間分佈,Ajustar Distribución Par/Impar
tutorial,step3_highlight3,3단계 하이라이트3,프리셋 저장 및 재사용,Save & Reuse Presets,プリセット保存・再利用,保存并重用预设,保存並重用預設,Guardar y Reusar Preajustes
tutorial,step4_title_new,4단계 제목,포인트 활용,Use Points,ポイント活用,使用积分,使用積分,Usar Puntos
tutorial,step4_subtitle,4단계 부제목,모으고 사용하기,Collect and Use,貯めて使う,收集并使用,收集並使用,Recopilar y Usar
tutorial,step4_desc_new,4단계 설명,스캔 광고 시청 등으로 포인트를 모아 다양하게 활용하세요.,Earn points by scanning and watching ads to use in various ways.,スキャンや広告視聴などでポイントを貯めて様々に活用しましょう。,通过扫描和观看广告赚取积分以多种方式使用。,通過掃描和觀看廣告賺取積分以多種方式使用。,Gane puntos escaneando y viendo anuncios para usar de varias maneras.
tutorial,step4_highlight1,4단계 하이라이트1,픽 열람 및 챔피언십 생성,Unlock Picks & Championship,ピック閲覧・チャンピオンシップ生成,解锁号码及锦标赛,解鎖號碼及錦標賽,Desbloquear Números y Campeonato
tutorial,step4_highlight2,4단계 하이라이트2,포인트샵 쿠폰 구매,Buy Coupons in Point Shop,ポイントショップでクーポン購入,在积分商城购买优惠券,在積分商城購買優惠券,Comprar Cupones en Tienda
tutorial,step4_highlight3,4단계 하이라이트3,구독 시 적립률 최대 2배,Up to 2x Points with Subscription,サブスクリプションで最大2倍,订阅享最高2倍积分,訂閱享最高2倍積分,Hasta 2x Puntos con Suscripción
tutorial,screenshot_preparing,스크린샷 준비중,스크린샷 준비중,Screenshot Preparing,スクリーンショット準備中,截图准备中,截圖準備中,Captura de Pantalla en Preparación

# DevTierSwitcher 컴포넌트
dev,points_label,포인트,포인트,Points,ポイント,积分,積分,Puntos
dev,scans_label,스캔,스캔,Scans,スキャン,扫描,掃描,Escaneos
dev,reset_onboarding,온보딩 리셋,↺ 온보딩 리셋 (처음부터),↺ Reset Onboarding (Start Over),↺ オンボーディングリセット（最初から）,↺ 重置引导（从头开始）,↺ 重置引導（從頭開始）,↺ Restablecer Introducción (Desde el Inicio)
dev,tier_switch_title,티어 전환,Dev · 티어 전환,Dev · Tier Switch,Dev · ティア切替,Dev · 等级切换,Dev · 等級切換,Dev · Cambio de Nivel
dev,dev_pages,개발 페이지,Dev Pages,Dev Pages,開発ページ,开发页面,開發頁面,Páginas de Desarrollo
dev,scan_error_page,스캔 에러,스캔 에러 상태,Scan Error State,スキャンエラー状態,扫描错误状态,掃描錯誤狀態,Estado de Error de Escaneo
dev,promo_popup_page,프로모션 팝업,프로모션 팝업,Promotion Popup,プロモーションポップアップ,促销弹窗,促銷彈窗,Ventana de Promoción

# BottomNav는 이미 추가됨 (MY는 영어로 유지)

# 공통 UI 요소들
common,match,일치,일치,Match,一致,匹配,匹配,Coincidencia
common,round_prefix,회차 접두사,제,Round,第,第,第,Ronda
common,time_count,횟수,회,times,回,次,次,veces
common,members_count,인원,명,people,名,人,人,personas

# 티어 관련 (영어 유지로 수정)
tier,guest_label,게스트 라벨,GUEST,GUEST,GUEST,GUEST,GUEST,GUEST
tier,free_label,프리 라벨,FREE,FREE,FREE,FREE,FREE,FREE
tier,standard_label,스탠다드 라벨,STANDARD,STANDARD,STANDARD,STANDARD,STANDARD,STANDARD
tier,pro_label,프로 라벨,PRO,PRO,PRO,PRO,PRO,PRO

# Winner Cards 관련
winner,rank_suffix,등,등,st/nd/rd,等,等,等,°
winner,prize_3rd,3등,3등,3rd Prize,3等,3等,3等,3er Premio
winner,prize_4th,4등,4등,4th Prize,4等,4等,4等,4° Premio
winner,prize_5th,5등,5등,5th Prize,5等,5等,5等,5° Premio
winner,users_count,유저 수,참여 유저,Participating Users,参加ユーザー,参与用户,參與用戶,Usuarios Participantes
winner,total_amount,총 금액,총 {amount},Total {amount},合計 {amount},共 {amount},共 {amount},Total {amount}

# 언어 이름들 (네이티브 표기)
language,korean,한국어,한국어,Korean / 한국어,韓国語,韩语,韓語,Coreano
language,english,영어,English,English,English,English,English,English
language,japanese,일본어,日本語,Japanese / 日本語,日本語,日语,日語,Japonés
language,chinese_simplified,중국어 간체,简体中文,Chinese (Simplified) / 简体中文,簡体字中国語,简体中文,简体中文,Chino Simplificado
language,chinese_traditional,중국어 번체,繁體中文,Chinese (Traditional) / 繁體中文,繁体字中国語,繁体中文,繁體中文,Chino Tradicional
language,spanish,스페인어,Español,Spanish / Español,スペイン語,西班牙语,西班牙語,Español
language,german,독일어,Deutsch,German / Deutsch,ドイツ語,德语,德語,Alemán
language,french,프랑스어,Français,French / Français,フランス語,法语,法語,Francés

# 숫자/단위 표기
unit,billion_won,억원,억원,Billion Won,億ウォン,亿韩元,億韓元,Mil Millones de Won
unit,ten_thousand,만,만,10K,万,万,萬,Diez Mil
unit,percent,퍼센트,%,%,%,%,%,%

# 날짜/시간
date,today,오늘,오늘,Today,今日,今天,今天,Hoy
date,this_week,이번주,이번 주,This Week,今週,本周,本週,Esta Semana
date,this_month,이번달,이번 달,This Month,今月,本月,本月,Este Mes
date,last_week,지난주,지난주,Last Week,先週,上周,上週,Semana Pasada
date,days_ago_suffix,일 전,일 전,days ago,日前,天前,天前,días atrás

# 상태 메시지
status,processing,처리중,처리 중...,Processing...,処理中...,处理中...,處理中...,Procesando...
status,completed,완료,완료되었습니다,Completed,完了しました,已完成,已完成,Completado
status,failed,실패,실패했습니다,Failed,失敗しました,失败,失敗,Fallido

# 버튼 텍스트들
button,view_more,더보기,더보기,View More,もっと見る,查看更多,查看更多,Ver Más
button,go_back,돌아가기,돌아가기,Go Back,戻る,返回,返回,Volver
button,retry,재시도,재시도,Retry,再試行,重试,重試,Reintentar
button,refresh,새로고침,새로고침,Refresh,更新,刷新,刷新,Actualizar

# Picks 태그
picks,tag_recommended,추천 태그,추천,Recommended,おすすめ,推荐,推薦,Recomendado
picks,tag_high_confidence,높은 신뢰도,높은 신뢰도,High Confidence,高信頼度,高置信度,高置信度,Alta Confianza
picks,confidence_label,신뢰도,신뢰도 {value}%,Confidence {value}%,信頼度 {value}%,置信度 {value}%,置信度 {value}%,Confianza {value}%
